county,state,pop_county,area,num_county,pop_state
Autauga,Alabama,58805,594.44,67,5024279
Baldwin,Alabama,231767,1589.78,67,5024279
Barbour,Alabama,25223,884.88,67,5024279
Bibb,Alabama,22293,622.58002,67,5024279
Blount,Alabama,59134,644.78003,67,5024279
Bullock,Alabama,10357,622.79999,67,5024279
Butler,Alabama,19051,776.83002,67,5024279
Calhoun,Alabama,116441,605.87,67,5024279
Chambers,Alabama,34772,596.53003,67,5024279
Cherokee,Alabama,24971,553.70001,67,5024279
Chilton,Alabama,45014,692.84998,67,5024279
Choctaw,Alabama,12665,913.5,67,5024279
Clarke,Alabama,23087,1238.46,67,5024279
Clay,Alabama,14236,603.96002,67,5024279
Cleburne,Alabama,15056,560.09998,67,5024279
Coffee,Alabama,53465,678.96997,67,5024279
Colbert,Alabama,57227,592.62,67,5024279
Conecuh,Alabama,11597,850.15997,67,5024279
Coosa,Alabama,10387,650.92999,67,5024279
Covington,Alabama,37570,1030.46,67,5024279
Crenshaw,Alabama,13194,608.84003,67,5024279
Cullman,Alabama,87866,734.84003,67,5024279
Dale,Alabama,49326,561.15002,67,5024279
Dallas,Alabama,38462,978.69,67,5024279
DeKalb,Alabama,71608,777.09003,67,5024279
Elmore,Alabama,87977,618.47998,67,5024279
Escambia,Alabama,36757,945.08002,67,5024279
Etowah,Alabama,103436,534.98999,67,5024279
Fayette,Alabama,16321,627.65997,67,5024279
Franklin,Alabama,32113,633.82001,67,5024279
Geneva,Alabama,26659,574.40997,67,5024279
Greene,Alabama,7730,647.10999,67,5024279
Hale,Alabama,14785,643.94,67,5024279
Henry,Alabama,17146,561.75,67,5024279
Houston,Alabama,107202,579.82001,67,5024279
Jackson,Alabama,52579,1077.87,67,5024279
Jefferson,Alabama,674721,1111.28,67,5024279
Lamar,Alabama,13972,604.84998,67,5024279
Lauderdale,Alabama,93564,667.70001,67,5024279
Lawrence,Alabama,33073,690.67999,67,5024279
Lee,Alabama,174241,607.53998,67,5024279
Limestone,Alabama,103570,559.94,67,5024279
Lowndes,Alabama,10311,715.90997,67,5024279
Macon,Alabama,19532,608.89001,67,5024279
Madison,Alabama,388153,801.59003,67,5024279
Marengo,Alabama,19323,976.88,67,5024279
Marion,Alabama,29341,742.28998,67,5024279
Marshall,Alabama,97612,565.84003,67,5024279
Mobile,Alabama,414809,1229.4399,67,5024279
Monroe,Alabama,19772,1025.67,67,5024279
Montgomery,Alabama,228954,784.25,67,5024279
Morgan,Alabama,123421,579.34003,67,5024279
Perry,Alabama,8511,719.65997,67,5024279
Pickens,Alabama,19123,881.40997,67,5024279
Pike,Alabama,33009,672.09003,67,5024279
Randolph,Alabama,21967,580.54999,67,5024279
Russell,Alabama,59183,641.14001,67,5024279
St. Clair,Alabama,91103,631.90002,67,5024279
Shelby,Alabama,223024,784.92999,67,5024279
Sumter,Alabama,12345,903.89001,67,5024279
Talladega,Alabama,82149,736.78003,67,5024279
Tallapoosa,Alabama,41311,716.52002,67,5024279
Tuscaloosa,Alabama,227036,1321.75,67,5024279
Walker,Alabama,65342,791.19,67,5024279
Washington,Alabama,15388,1080.21,67,5024279
Wilcox,Alabama,10600,888.5,67,5024279
Winston,Alabama,23540,612.97998,67,5024279
Aleutians East Borough,Alaska,3420,6985,30,733391
Aleutians West Census Area,Alaska,5232,4393,30,733391
"Anchorage, Municipality of",Alaska,291247,1707,30,733391
Bethel Census Area,Alaska,18666,40627,30,733391
Bristol Bay Borough,Alaska,844,482,30,733391
Chugach Census Area,Alaska,7102,9530,30,733391
Copper River Census Area,Alaska,2617,24692,30,733391
Denali Borough,Alaska,1619,12641,30,733391
Dillingham Census Area,Alaska,4857,18334,30,733391
Fairbanks North Star Borough,Alaska,95655,7335,30,733391
Haines Borough,Alaska,2080,2343,30,733391
Hoonah–Angoon Census Area,Alaska,2365,6555,30,733391
"Juneau, City and Borough of",Alaska,32255,2704,30,733391
Kenai Peninsula Borough,Alaska,58799,16017,30,733391
Ketchikan Gateway Borough,Alaska,13948,4857,30,733391
Kodiak Island Borough,Alaska,13101,6689,30,733391
Kusilvak Census Area,Alaska,8368,17077,30,733391
Lake and Peninsula Borough,Alaska,1476,23832,30,733391
Matanuska-Susitna Borough,Alaska,107081,24707,30,733391
Nome Census Area,Alaska,10046,22969,30,733391
North Slope Borough,Alaska,11031,88824,30,733391
Northwest Arctic Borough,Alaska,7793,35663,30,733391
Petersburg Borough,Alaska,3398,2901,30,733391
Prince of Wales – Hyder Census Area,Alaska,5753,5268,30,733391
"Sitka, City and Borough of",Alaska,8458,2870,30,733391
"Skagway, Municipality of",Alaska,1240,434,30,733391
Southeast Fairbanks Census Area,Alaska,6808,24831,30,733391
"Wrangell, City and Borough of",Alaska,2127,2556,30,733391
"Yakutat, City and Borough of",Alaska,662,7623,30,733391
Yukon–Koyukuk Census Area,Alaska,5343,145576,30,733391
Apache,Arizona,66021,11218,15,7151502
Cochise,Arizona,125447,6219,15,7151502
Coconino,Arizona,145101,18661,15,7151502
Gila,Arizona,53272,4796,15,7151502
Graham,Arizona,38533,4641,15,7151502
Greenlee,Arizona,9563,1848,15,7151502
La Paz,Arizona,16557,4513,15,7151502
Maricopa,Arizona,4420568,9224,15,7151502
Mohave,Arizona,213267,13470,15,7151502
Navajo,Arizona,106717,9959,15,7151502
