"","STNAME","CTYNAME","STATE","COUNTY","TOT_POP","total_hispanic_2020","total_hispanic_2010"
"1","Alabama","Autauga County","01","001",58802,1843,1310
"2","Alabama","Baldwin County","01","003",231761,10917,7992
"3","Alabama","Barbour County","01","005",25224,1201,1387
"4","Alabama","Bibb County","01","007",22300,643,406
"5","Alabama","Blount County","01","009",59130,5670,4626
"6","Alabama","Bullock County","01","011",10362,913,777
"7","Alabama","Butler County","01","013",19055,324,191
"8","Alabama","Calhoun County","01","015",116444,4728,3893
"9","Alabama","Chambers County","01","017",34774,1134,536
"10","Alabama","Cherokee County","01","019",24979,477,320
"11","Alabama","Chilton County","01","021",45009,3595,3420
"12","Alabama","Choctaw County","01","023",12663,144,73
"13","Alabama","Clarke County","01","025",23087,320,271
"14","Alabama","Clay County","01","027",14237,431,399
"15","Alabama","Cleburne County","01","029",15057,412,307
"16","Alabama","Coffee County","01","031",53460,4447,3180
"17","Alabama","Colbert County","01","033",57232,1816,1093
"18","Alabama","Conecuh County","01","035",11597,347,161
"19","Alabama","Coosa County","01","037",10382,284,230
"20","Alabama","Covington County","01","039",37567,744,483
"21","Alabama","Crenshaw County","01","041",13197,343,204
"22","Alabama","Cullman County","01","043",87857,3999,3454
"23","Alabama","Dale County","01","045",49319,3421,2821
"24","Alabama","Dallas County","01","047",38463,445,309
"25","Alabama","DeKalb County","01","049",71611,10978,9690
"26","Alabama","Elmore County","01","051",87974,2707,2129
"27","Alabama","Escambia County","01","053",36767,953,718
"28","Alabama","Etowah County","01","055",103441,4476,3447
"29","Alabama","Fayette County","01","057",16326,334,204
"30","Alabama","Franklin County","01","059",32113,5875,4710
"31","Alabama","Geneva County","01","061",26660,1158,920
"32","Alabama","Greene County","01","063",7734,147,69
"33","Alabama","Hale County","01","065",14786,212,140
"34","Alabama","Henry County","01","067",17148,462,389
"35","Alabama","Houston County","01","069",107204,3745,2995
"36","Alabama","Jackson County","01","071",52582,1647,1339
"37","Alabama","Jefferson County","01","073",674355,27746,25488
"38","Alabama","Lamar County","01","075",13976,275,180
"39","Alabama","Lauderdale County","01","077",93565,2776,2082
"40","Alabama","Lawrence County","01","079",33077,796,574
"41","Alabama","Lee County","01","081",174244,6564,4571
"42","Alabama","Limestone County","01","083",103563,6399,4591
"43","Alabama","Lowndes County","01","085",10310,185,87
"44","Alabama","Macon County","01","087",19534,473,232
"45","Alabama","Madison County","01","089",388160,20255,15404
"46","Alabama","Marengo County","01","091",19324,529,352
"47","Alabama","Marion County","01","093",29341,761,632
"48","Alabama","Marshall County","01","095",97611,14578,11238
"49","Alabama","Mobile County","01","097",414812,12442,9936
"50","Alabama","Monroe County","01","099",19770,336,220
"51","Alabama","Montgomery County","01","101",228948,8479,8314
"52","Alabama","Morgan County","01","103",123421,10802,9156
"53","Alabama","Perry County","01","105",8515,133,114
"54","Alabama","Pickens County","01","107",19124,1016,313
"55","Alabama","Pike County","01","109",33008,792,730
"56","Alabama","Randolph County","01","111",21970,660,649
"57","Alabama","Russell County","01","113",59187,3477,1946
"58","Alabama","Shelby County","01","117",223034,13021,11567
"59","Alabama","St. Clair County","01","115",91471,2276,1716
"60","Alabama","Sumter County","01","119",12348,169,86
"61","Alabama","Talladega County","01","121",82152,2033,1671
"62","Alabama","Tallapoosa County","01","123",41316,1018,1042
"63","Alabama","Tuscaloosa County","01","125",227041,9108,5949
"64","Alabama","Walker County","01","127",65342,1839,1307
"65","Alabama","Washington County","01","129",15388,258,151
"66","Alabama","Wilcox County","01","131",10601,155,72
"67","Alabama","Winston County","01","133",23544,776,639
"68","Alaska","Aleutians East Borough","02","013",3419,570,385
"69","Alaska","Aleutians West Census Area","02","016",5232,782,726
"70","Alaska","Anchorage Municipality","02","020",291244,28060,22061
"71","Alaska","Bethel Census Area","02","050",18670,404,181
"72","Alaska","Bristol Bay Borough","02","060",843,79,24
"73","Alaska","Chugach Census Area","02","063",7097,416,NA
"74","Alaska","Copper River Census Area","02","066",2618,162,NA
"75","Alaska","Denali Borough","02","068",1624,78,42
"76","Alaska","Dillingham Census Area","02","070",4853,157,101
"77","Alaska","Fairbanks North Star Borough","02","090",95657,7782,5651
"78","Alaska","Haines Borough","02","100",2080,79,47
"79","Alaska","Hoonah-Angoon Census Area","02","105",2364,133,77
"80","Alaska","Juneau City and Borough","02","110",32255,2253,1588
"81","Alaska","Kenai Peninsula Borough","02","122",58789,2561,1641
"82","Alaska","Ketchikan Gateway Borough","02","130",13957,771,538
"83","Alaska","Kodiak Island Borough","02","150",13101,1167,996
"84","Alaska","Kusilvak Census Area","02","158",8372,135,NA
