county,state,pop_county,area,num_county,pop_state,rep_vote,rep_vote_pct,dem_vote,dem_vote_pct,third_pct,total_hispanic_2010,total_hispanic_2020,_merge
Wade Hampton Census Area,Alaska,,,,,,,,,,7,,Using only (2)
Valdez-Cordova Census Area,Alaska,,,,,,,,,,349,,Using only (2)
La Salle Parish,Louisiana,,,,,,,,,,331,,Using only (2)
Shannon,South Dakota,,,,,,,,,,298,,Using only (2)
Petersburg Census Area,Alaska,,,,,,,,,,130,,Using only (2)
Adair,Kentucky,18903,407,120,4505836,7276,.83,1392,.159,.011,319,643,Matched (3)
Taylor,Georgia,7816,378,159,10711908,1388,.361,2420,.63,.009,164,168,Matched (3)
Lyon,Iowa,11934,588,99,3190369,5707,.833,1067,.156,.011,212,407,Matched (3)
Pike,Ohio,27088,441.48999,88,11799448,9157,.738,3110,.251,.011,207,219,Matched (3)
Adams,Idaho,4379,1365,44,1839106,1941,.751,591,.229,.02,94,152,Matched (3)
Marshall,South Dakota,4306,1137,66,886667,1287,.591,858,.394,,317,255,Matched (3)
Lancaster,Nebraska,322608,839,93,1961504,70092,.449,82293,.527,.0239999999999999,16685,25844,Matched (3)
Winnebago,Wisconsin,171730,434.48999,72,5893718,44060,.47,47796,.51,.02,5784,8328,Matched (3)
Adams,Mississippi,29538,460,82,2961279,5696,.414,7917,.575,.0110000000000001,2150,1012,Matched (3)
Adams,Nebraska,31205,563,93,1961504,10085,.6909999999999999,4213,.289,.0200000000000001,2544,3659,Matched (3)
West Baton Rouge Parish,Louisiana,27199,203,64,4657757,7684,.545,6200,.44,.015,544,1244,Matched (3)
Hawkins,Tennessee,56721,487,95,6910840,20405,.822,4083,.164,.014,669,889,Matched (3)
Polk,Nebraska,5214,439,93,1961504,2291,.796,530,.184,.02,156,259,Matched (3)
Seward,Kansas,21964,640,105,2937880,3372,.637,1833,.346,.017,12990,14406,Matched (3)
Tehama,California,65829,2951,58,39538224,8911,.31,19141,.666,.0239999999999999,13906,17938,Matched (3)
Bullitt,Kentucky,82217,299,120,4505836,30708,.732,10552,.251,.017,1038,2117,Matched (3)
Young,Texas,17867,922,254,29145504,7110,.863,1034,.126,.011,3045,3508,Matched (3)
Murray,Oklahoma,13904,418,77,3959353,4612,.782,1156,.196,.022,662,926,Matched (3)
Benton,Mississippi,7646,407,82,2961279,2570,.599,1679,.391,.01,148,145,Matched (3)
Orange,California,3186989,948,58,39538224,814009,.535,676498,.445,.02,1012973,1086834,Matched (3)
Jackson,Oregon,223259,2785,36,4237256,59478,.47,63869,.505,.025,21745,30399,Matched (3)
Polk,Georgia,42853,311,159,10711908,3657,.21,13587,.781,.009,4885,5585,Matched (3)
Mercer,Missouri,3538,454,115,6154913,1541,.866,222,.125,.009,28,155,Matched (3)
Weakley,Tennessee,32902,580,95,6910840,10396,.757,3020,.22,.023,700,905,Matched (3)
Vermilion Parish,Louisiana,57359,1538,64,4657757,21930,.803,5009,.183,.014,1381,2296,Matched (3)
Buchanan,Iowa,20565,571,99,3190369,6420,.596,4169,.387,.017,243,338,Matched (3)
Twin Falls,Idaho,90046,1925,44,1839106,25897,.709,9391,.257,.034,10570,15210,Matched (3)
Aleutians East Borough,Alaska,3420,6985,30,733391,4652,.6031,2666,.3457,.0512,385,674,Matched (3)
Antelope,Nebraska,6295,857,93,1961504,3093,.863,452,.126,.011,178,221,Matched (3)
Jennings,Indiana,27613,377,92,6785528,9490,.775,2523,.206,.019,571,859,Matched (3)
Bracken,Kentucky,8400,203,120,4505836,3398,.801,800,.189,.01,96,90,Matched (3)
Wyoming,Pennsylvania,26069,406,67,13002700,4704,.317,9936,.669,.014,437,581,Matched (3)
Morris,Texas,11973,254,254,29145504,3872,.6929999999999999,1669,.299,.0080000000000001,1003,1182,Matched (3)
Surry,Virginia,6561,279,133,8631393,2397,.537,2025,.454,.009,86,149,Matched (3)
York,Pennsylvania,456438,910,67,13002700,88114,.369,146733,.615,.016,24397,39360,Matched (3)
Allegan,Michigan,120502,1833,83,10077331,24449,.364,41392,.617,.019,7454,9389,Matched (3)
Stevens,Kansas,5250,728,105,2937880,1760,.867,237,.117,.016,1866,2020,Matched (3)
Allegany,New York,46456,1034,62,20201248,6048,.292,14135,.6830000000000001,.0249999999999999,670,965,Matched (3)
LaSalle Parish,Louisiana,14791,663,64,4657757,6378,.901,638,.09,.009,,1402,Matched (3)
Grant,Kentucky,24941,260,120,4505836,8725,.786,2205,.199,.015,577,741,Matched (3)
McKinley,New Mexico,72902,5449,33,2117522,18029,.681,7801,.295,.024,9473,8611,Matched (3)
Allen,Indiana,385410,657,92,6785528,92083,.545,73189,.433,.022,23093,32923,Matched (3)
Berks,Pennsylvania,428849,866,67,13002700,92895,.452,109736,.534,.014,67355,99550,Matched (3)
Socorro,New Mexico,16595,6647,33,2117522,3722,.52,3255,.455,.025,8664,8353,Matched (3)
Allen,Ohio,102206,404.42999,88,11799448,33116,.6899999999999999,14149,.295,.0150000000000001,2513,3272,Matched (3)
LaMoure,North Dakota,4093,1147,53,779094,1645,.742,527,.238,.02,34,88,Matched (3)
McIntosh,North Dakota,2530,975,53,779094,1153,.798,261,.181,.021,38,53,Matched (3)
Henry,Georgia,240712,323,159,10711908,73443,.597,48259,.392,.011,11813,18437,Matched (3)
Essex,Massachusetts,809829,498,14,7029917,267198,.637,144837,.345,.018,122745,182847,Matched (3)
Pennington,South Dakota,109222,2776,66,886667,35063,.61,20606,.358,,4044,5575,Matched (3)
Marion,Arkansas,16826,640.39001,75,3011524,5783,.771,1531,.204,.025,287,379,Matched (3)
Beaufort,South Carolina,187117,576,46,5118425,53194,.544,43419,.444,.012,19567,23411,Matched (3)
Amite,Mississippi,12720,730,82,2961279,4503,.626,2620,.364,.01,110,129,Matched (3)
Anchorage Municipality,Alaska,291247,1707,30,733391,68169,.4697,70933,.4887,.0416,22061,26438,Matched (3)
Lane,Oregon,382971,4554,36,4237256,134366,.609,80336,.364,.027,26167,37780,Matched (3)
Greene,New York,47931,658,62,20201248,10346,.412,14271,.5679999999999999,.0200000000000001,2419,3109,Matched (3)
Madison Parish,Louisiana,10017,651,64,4657757,1930,.413,2654,.5679999999999999,.019,188,204,Matched (3)
Johnson,Indiana,161765,320,92,6785528,51219,.66,24736,.319,.021,4270,6394,Matched (3)
York,Maine,211972,1271,16,1362359,71189,.549,54817,.423,.028,2478,4097,Matched (3)
Lake,Minnesota,10905,2099.1599,87,5706494,3647,.508,3393,.472,.02,80,113,Matched (3)
Shelby,Tennessee,929744,755,95,6910840,129815,.34,246105,.644,.0159999999999999,52092,77707,Matched (3)
Sawyer,Wisconsin,18074,893.06,72,5893718,4498,.429,5909,.5629999999999999,.008,268,358,Matched (3)
Perry,Arkansas,10019,560.46997,75,3011524,3479,.752,1012,.219,.029,247,286,Matched (3)
Foster,North Dakota,3397,635,53,779094,1362,.77,373,.211,.019,29,66,Matched (3)
Marshall,Iowa,40105,572,99,3190369,9571,.529,8176,.452,.019,7017,9140,Matched (3)
Bay,Michigan,103856,631,83,10077331,26151,.434,33125,.55,.016,5093,5930,Matched (3)
Wayne,Pennsylvania,51155,751,67,13002700,9191,.327,18637,.663,.01,1816,2347,Matched (3)
Marion,Ohio,65359,403.84,88,11799448,19023,.6840000000000001,8269,.297,.019,1503,1956,Matched (3)
Madison,Alabama,388153,801.59003,67,5024279,102780,.53,87286,.45,.02,15404,24936,Matched (3)
Dona Ana,New Mexico,219561,3807,33,2117522,47957,.58,32802,.397,.023,137514,147672,Matched (3)
Washington,Tennessee,133001,326,95,6910840,40444,.672,18638,.31,.018,3633,6136,Matched (3)
Saline,Illinois,23768,868,102,12812508,2789,.252,8103,.732,.016,340,473,Matched (3)
Aransas,Texas,23830,252,254,29145504,9239,.752,2916,.237,.011,5690,6158,Matched (3)
Arapahoe,Colorado,655070,804.40997,64,5773714,213607,.61,127323,.364,.026,105522,135729,Matched (3)
Switzerland,Indiana,9737,221,92,6785528,3133,.755,964,.232,.013,147,114,Matched (3)
Glasscock,Texas,1116,901,254,29145504,611,.9360000000000001,39,.06,.0039999999999999,378,387,Matched (3)
Carbon,Utah,20412,1485,29,3271616,6693,.714,2392,.255,.031,2659,2677,Matched (3)
Arkansas,Arkansas,17149,1033.79,75,3011524,4304,.6840000000000001,1818,.289,.027,513,636,Matched (3)
Arlington,Virginia,238643,26,133,8631393,105344,.8129999999999999,22318,.172,.0150000000000001,31382,37362,Matched (3)
Stone,Missouri,31076,827,115,6154913,14800,.801,3506,.19,.009,553,782,Matched (3)
Armstrong,Texas,1848,914,254,29145504,1035,.931,75,.067,.0019999999999999,124,144,Matched (3)
Plumas,California,19790,2554,58,39538224,4561,.405,6445,.573,.022,1605,1897,Matched (3)
Arthur,Nebraska,434,715,93,1961504,260,.915,21,.074,.011,19,12,Matched (3)
Archuleta,Colorado,13359,1354.53,64,5773714,3738,.409,5189,.5669999999999999,.024,2148,2159,Matched (3)
Lafourche Parish,Louisiana,97557,1472,64,4657757,36024,.794,8672,.191,.015,3647,5672,Matched (3)
Blanco,Texas,11374,711,254,29145504,5443,.731,1911,.257,.012,1909,2092,Matched (3)
Coleman,Texas,7684,1273,254,29145504,3641,.883,451,.109,.008,1419,1192,Matched (3)
Broomfield,Colorado,74112,33.57,64,5773714,29077,.624,16295,.349,.027,6216,9919,Matched (3)
Cameron,Pennsylvania,4547,399,67,13002700,634,.26,1771,.728,.012,19,86,Matched (3)
La Paz,Arizona,16557,4513,15,7151502,2236,.3,5129,.6879999999999999,.012,4806,4197,Matched (3)
Stewart,Georgia,5314,459,159,10711908,1182,.594,801,.403,.003,1454,1217,Matched (3)
Starr,Texas,65920,1223,254,29145504,8247,.471,9123,.521,.008,58337,64393,Matched (3)
Hillsdale,Michigan,45746,607,83,10077331,5883,.253,17037,.732,.015,826,1172,Matched (3)
Atchison,Missouri,5305,545,115,6154913,2199,.781,564,.2,.019,55,73,Matched (3)
Randolph,Missouri,24716,482,115,6154913,8018,.746,2485,.231,.023,413,572,Matched (3)
Marion,Kentucky,19581,347,120,4505836,6113,.6850000000000001,2722,.305,.01,482,681,Matched (3)
Cedar,Iowa,18505,580,99,3190369,6161,.577,4337,.406,.017,284,462,Matched (3)
Paulding,Ohio,18806,416.26001,88,11799448,7086,.749,2213,.234,.017,838,1010,Matched (3)
Williamson,Texas,609017,1124,254,29145504,139729,.483,143795,.497,.02,98034,147088,Matched (3)
Essex,New York,37381,1916,62,20201248,9947,.516,8976,.466,.018,993,978,Matched (3)
Upshur,Texas,40892,588,254,29145504,15809,.837,2877,.152,.011,2613,3986,Matched (3)
Lac qui Parle,Minnesota,6719,764.87,87,5706494,1446,.359,2528,.627,.014,108,202,Matched (3)
Bamberg,South Carolina,13311,395,46,5118425,2417,.373,4010,.619,.008,258,141,Matched (3)
Harding,South Dakota,1311,2671,66,886667,748,.92,49,.06,,20,32,Matched (3)
Austin,Texas,30167,653,254,29145504,11447,.787,2951,.203,.01,6641,8052,Matched (3)
Autauga,Alabama,58805,594.44,67,5024279,19838,.716,7503,.271,.013,1310,2117,Matched (3)
Chaffee,Colorado,19476,1014.12,64,5773714,7160,.522,6222,.454,.024,1678,1841,Matched (3)
Ward,Texas,11644,836,254,29145504,3241,.798,764,.188,.014,5074,6325,Matched (3)
Plymouth,Massachusetts,530819,661,14,7029917,173630,.578,121227,.403,.019,15619,23952,Matched (3)
Park,Montana,17191,2656,56,1084225,6025,.521,5280,.457,.022,325,510,Matched (3)
Cattaraugus,New York,77042,1310,62,20201248,11879,.342,22155,.638,.0199999999999999,1345,1615,Matched (3)
Bossier Parish,Louisiana,128746,867,64,4657757,38074,.697,15662,.287,.0160000000000001,7026,10237,Matched (3)
Powder River,Montana,1694,3297,56,1084225,970,.854,154,.136,.01,24,35,Matched (3)
Linn,Kansas,9591,599,105,2937880,4048,.802,896,.178,.02,186,238,Matched (3)
Montgomery,Virginia,99721,388,133,8631393,23218,.518,20629,.461,.021,2536,4651,Matched (3)
