county,state,pop_county,num_county,pop_state,rep_vote,rep_vote_pct,dem_vote,dem_vote_pct,third_pct,total_hispanic_2010,total_hispanic_2020
Windham,Connecticut,116418,8,116418,29141,.5105,26706,.4679,.0216,11351,14459
Tolland,Connecticut,150293,8,266711,34838,.4316,44151,.547,.0214,6602,9699
New London,Connecticut,268805,8,535516,57110,.4091,79459,.5692,.0217,23214,30920
Uinta,Wyoming,20450,23,576851,7496,.803,1591,.17,.0269999999999999,1855,1986
Sheridan,Wyoming,30921,23,576851,11843,.725,4043,.247,.028,1013,1416
Sublette,Wyoming,8728,23,576851,3957,.8,882,.178,.022,712,636
Converse,Wyoming,13751,23,576851,5917,.852,861,.124,.024,867,1062
Carbon,Wyoming,14537,23,576851,5014,.756,1427,.215,.029,2668,2600
Park,Wyoming,29624,23,576851,12813,.772,3410,.205,.023,1365,1697
Campbell,Wyoming,47026,23,576851,16975,.872,1935,.099,.029,3611,4283
Laramie,Wyoming,100512,23,576851,27891,.624,15217,.341,.035,11978,15602
Hot Springs,Wyoming,4621,23,576851,1999,.779,482,.188,.033,105,177
Sweetwater,Wyoming,42272,23,576851,12229,.74,3823,.231,.029,6689,6957
Goshen,Wyoming,12498,23,576851,4878,.786,1203,.194,.02,1288,1212
Niobrara,Wyoming,2467,23,576851,1118,.857,155,.119,.024,52,76
Johnson,Wyoming,8447,23,576851,3881,.793,897,.183,.024,276,347
Natrona,Wyoming,79955,23,576851,25271,.722,8530,.244,.034,5231,7169
Platte,Wyoming,8605,23,576851,3898,.795,890,.182,.023,580,695
Lincoln,Wyoming,19581,23,576851,8643,.832,1509,.145,.023,781,959
Albany,Wyoming,37066,23,576851,8579,.465,9092,.493,.0419999999999999,3202,3910
Crook,Wyoming,7181,23,576851,3651,.889,378,.092,.019,141,112
Big Horn,Wyoming,11521,23,576851,4806,.841,788,.138,.021,984,1069
Fremont,Wyoming,39234,23,576851,12007,.667,5519,.307,.026,2264,2421
Teton,Wyoming,23331,23,576851,4341,.299,9848,.678,.023,3191,3295
Weston,Wyoming,6838,23,576851,3107,.879,360,.102,.019,216,295
Washakie,Wyoming,7685,23,576851,3245,.8129999999999999,651,.163,.024,1162,1070
Bennington,Vermont,37347,14,643077,12705,.623,7114,.349,.028,525,939
Windham,Vermont,45905,14,643077,18767,.724,6440,.249,.027,820,1333
Chittenden,Vermont,168323,14,643077,74961,.762,21017,.214,.024,2856,4751
Caledonia,Vermont,30233,14,643077,9011,.5600000000000001,6551,.407,.033,331,605
Essex,Vermont,5920,14,643077,1405,.43,1773,.542,.028,59,67
Addison,Vermont,37363,14,643077,14967,.6840000000000001,6292,.288,.028,685,1153
Windsor,Vermont,57753,14,643077,23376,.6830000000000001,9971,.291,.026,696,1230
Franklin,Vermont,49946,14,643077,13611,.53,11274,.439,.031,571,915
Rutland,Vermont,60572,14,643077,18230,.539,14672,.434,.027,681,1225
