"","county","state","pop_county","area","num_county","pop_state","rep_vote","rep_vote_pct","dem_vote","dem_vote_pct","third_pct","X","STATE","COUNTY","TOT_POP","total_hispanic_2020","total_hispanic_2010"
"1","Abbeville","South Carolina",24295,511,46,5118425,8215,0.661,4101,0.33,0.009,2310,45,1,24287,430,255
"2","Acadia Parish","Louisiana",57576,658,64,4657757,22596,0.795,5443,0.191,0.014,1107,22,1,57569,1750,1060
"3","Accomack","Virginia",33413,455,133,8631393,7578,0.447,9172,0.542,0.0109999999999999,2814,51,1,33417,3037,2850
"4","Ada","Idaho",494967,1055,44,1839106,130699,0.504,120539,0.465,0.031,545,16,1,494964,43321,27905
"5","Adair","Iowa",7496,569,99,3190369,2917,0.699,1198,0.287,0.0140000000000001,783,19,1,7498,187,101
"6","Adair","Kentucky",18903,407,120,4505836,7276,0.83,1392,0.159,0.011,987,21,1,18903,466,319
"7","Adair","Missouri",25314,568,115,6154913,6413,0.621,3710,0.359,0.02,1477,29,1,25315,687,523
"8","Adair","Oklahoma",19495,576,77,3959353,5585,0.786,1387,0.195,0.019,2125,40,1,19494,1474,1197
"9","Adams","Colorado",519572,1182.29,64,5773714,134202,0.567,95657,0.404,0.029,246,8,1,519582,213982,167878
"10","Adams","Idaho",4379,1365,44,1839106,1941,0.751,591,0.229,0.02,546,16,3,4380,167,94
"11","Adams","Illinois",65737,855,102,12812508,8633,0.257,24220,0.722,0.021,589,17,1,65727,1190,776
"12","Adams","Indiana",35809,339,92,6785528,10686,0.752,3236,0.228,0.02,691,18,1,35811,1642,1412
"13","Adams","Iowa",3704,424,99,3190369,1530,0.71,590,0.274,0.016,784,19,3,3708,72,37
"14","Adams","Mississippi",29538,460,82,2961279,5696,0.414,7917,0.575,0.0110000000000001,1395,28,1,29538,2029,2150
"15","Adams","Nebraska",31205,563,93,1961504,10085,0.691,4213,0.289,0.0200000000000001,1648,31,1,31202,3620,2544
"16","Adams","North Dakota",2200,988,53,779094,981,0.773,258,0.203,0.024,1984,38,1,2200,46,20
"17","Adams","Ohio",27477,583.90997,88,11799448,9870,0.813,2156,0.178,0.0090000000000001,2037,39,1,27474,301,243
"18","Adams","Pennsylvania",103852,522,67,13002700,18207,0.322,37523,0.664,0.0139999999999999,2238,42,1,103829,7636,6115
"19","Adams","Washington",20613,1925,39,7705281,1814,0.311,3907,0.669,0.02,2947,53,1,20612,13325,11099
"20","Adams","Wisconsin",20654,645.65002,72,5893718,4329,0.367,7362,0.624,0.009,3041,55,1,20646,914,783
"21","Addison","Vermont",37363,2426,14,643077,14967,0.684,6292,0.288,0.028,2800,50,1,37359,909,685
"22","Aiken","South Carolina",168808,1080,46,5118425,51589,0.606,32275,0.379,0.015,2311,45,3,168811,10269,7824
"23","Aitkin","Minnesota",15697,1819.3,87,5706494,3607,0.36,6258,0.625,0.015,1308,27,1,15703,220,151
"24","Alachua","Florida",278468,874,67,21538088,50972,0.357,89704,0.629,0.014,314,12,1,278475,29997,20752
"25","Alamance","North Carolina",171415,435,100,10439388,46056,0.536,38825,0.452,0.012,1884,37,1,171429,22908,16639
"26","Alameda","California",1682353,738,58,39538224,617659,0.802,136309,0.177,0.021,188,6,1,1682331,373442,339889
"27","Alamosa","Colorado",16376,723.21002,64,5773714,3759,0.481,3813,0.488,0.031,247,8,3,16381,7814,7110
"28","Albany","New York",314848,533,62,20201248,99474,0.648,51081,0.333,0.019,1822,36,1,314838,20432,14917
"29","Albany","Wyoming",37066,4274,23,576851,8579,0.465,9092,0.493,0.0419999999999999,3113,56,1,37070,3654,3202
"30","Albemarle","Virginia",112395,723,133,8631393,42466,0.661,20804,0.324,0.015,2815,51,3,112396,6586,5417
"31","Alcona","Michigan",10167,1791,83,10077331,2142,0.303,4848,0.686,0.011,1225,26,1,10167,194,124
"32","Alcorn","Mississippi",34740,400,82,2961279,12818,0.812,2782,0.176,0.012,1396,28,3,34743,1209,1010
"33","Aleutians East Borough","Alaska",3420,6985,30,733391,4652,0.6031,2666,0.3457,0.0512,68,2,13,3419,570,385
"34","Aleutians West Census Area","Alaska",5232,4393,30,733391,551,0.4298,692,0.5398,0.0304,69,2,16,5232,782,726
"35","Alexander","Illinois",5240,236,102,12812508,1114,0.426,1486,0.568,0.0060000000000001,590,17,3,5242,111,155
"36","Alexander","North Carolina",36444,263,100,10439388,15888,0.786,4145,0.205,0.009,1885,37,3,36440,1817,1601
"37","Alexandria","Virginia",159467,15,133,8631393,66240,0.81,14544,0.178,0.012,2816,51,510,159461,26306,22524
"38","Alfalfa","Oklahoma",5699,867,77,3959353,1978,0.874,232,0.103,0.023,2126,40,3,5700,373,224
"39","Alger","Michigan",8842,5049,83,10077331,2053,0.4,3014,0.588,0.012,1226,26,3,8837,173,114
"40","Allamakee","Iowa",14061,640,99,3190369,4735,0.639,2576,0.347,0.014,785,19,5,14061,1062,757
"41","Allegan","Michigan",120502,1833,83,10077331,24449,0.364,41392,0.617,0.019,1227,26,5,120499,9287,7454
"42","Allegany","Maryland",68106,430,24,6177224,9158,0.3,20886,0.685,0.0149999999999999,1187,24,1,68115,1358,1085
"43","Allegany","New York",46456,1034,62,20201248,6048,0.292,14135,0.683,0.0249999999999999,1823,36,3,46446,841,670
"44","Alleghany","North Carolina",10888,236,100,10439388,4527,0.746,1486,0.245,0.009,1886,37,5,10886,1090,1004
"45","Alleghany","Virginia",15223,446,133,8631393,2243,0.274,5859,0.715,0.011,2817,51,5,15219,245,176
"46","Allegheny","Pennsylvania",1250578,745,67,13002700,429065,0.596,282324,0.392,0.012,2239,42,3,1250585,29106,19070
"47","Allen","Indiana",385410,657,92,6785528,92083,0.545,73189,0.433,0.022,692,18,3,385411,30584,23093
"48","Allen","Kansas",12526,503,105,2937880,4218,0.716,1570,0.266,0.018,882,20,1,12522,522,392
"49","Allen","Kentucky",20588,3446,120,4505836,7587,0.81,1642,0.175,0.015,988,21,3,20580,493,297
"50","Allen","Ohio",102206,404.42999,88,11799448,33116,0.69,14149,0.295,0.0150000000000001,2038,39,3,102204,3510,2513
"51","Allen Parish","Louisiana",22750,766,64,4657757,7574,0.772,2108,0.215,0.013,1108,22,3,22751,651,342
