county,state,pop_county,area,num_county,pop_state,rep_vote,rep_vote_pct,dem_vote,dem_vote_pct,third_pct
Autauga,Alabama,58805,594.44,67,5024279,19838,.716,7503,.271,.013
Baldwin,Alabama,231767,1589.78,67,5024279,83544,.764,24578,.225,.011
Barbour,Alabama,25223,884.88,67,5024279,5622,.535,4816,.458,.007
Bibb,Alabama,22293,622.58002,67,5024279,7525,.785,1986,.207,.008
Blount,Alabama,59134,644.78003,67,5024279,24711,.897,2640,.096,.007
Bullock,Alabama,10357,622.79999,67,5024279,1146,.249,3446,.747,.004
Butler,Alabama,19051,776.83002,67,5024279,5458,.576,3965,.418,.0060000000000001
Calhoun,Alabama,116441,605.87,67,5024279,35101,.6899999999999999,15216,.299,.0110000000000001
Chambers,Alabama,34772,596.53003,67,5024279,8753,.574,6365,.417,.0090000000000001
Cherokee,Alabama,24971,553.70001,67,5024279,10583,.861,1624,.132,.007
Chilton,Alabama,45014,692.84998,67,5024279,16085,.834,3073,.159,.007
Choctaw,Alabama,12665,913.5,67,5024279,4296,.576,3127,.419,.0050000000000001
Clarke,Alabama,23087,1238.46,67,5024279,7324,.5580000000000001,5755,.438,.0039999999999999
Clay,Alabama,14236,603.96002,67,5024279,5601,.8090000000000001,1267,.183,.008
Cleburne,Alabama,15056,560.09998,67,5024279,6484,.898,675,.094,.008
Coffee,Alabama,53465,678.96997,67,5024279,16899,.76,5076,.228,.012
Colbert,Alabama,57227,592.62,67,5024279,19203,.6899999999999999,8343,.3,.0100000000000001
Conecuh,Alabama,11597,850.15997,67,5024279,3442,.534,2966,.461,.0049999999999999
Coosa,Alabama,10387,650.92999,67,5024279,3631,.663,1796,.328,.009
Covington,Alabama,37570,1030.46,67,5024279,14586,.838,2721,.156,.006
Crenshaw,Alabama,13194,608.84003,67,5024279,4864,.736,1700,.257,.007
Cullman,Alabama,87866,734.84003,67,5024279,36880,.883,4478,.107,.01
Dale,Alabama,49326,561.15002,67,5024279,14303,.726,5170,.262,.012
Dallas,Alabama,38462,978.69,67,5024279,5524,.31,12230,.6850000000000001,.0049999999999999
DeKalb,Alabama,71608,777.09003,67,5024279,24767,.845,4281,.146,.009
Elmore,Alabama,87977,618.47998,67,5024279,30164,.737,10367,.253,.01
Escambia,Alabama,36757,945.08002,67,5024279,10869,.6840000000000001,4918,.31,.0059999999999999
Etowah,Alabama,103436,534.98999,67,5024279,35528,.746,11567,.243,.011
Fayette,Alabama,16321,627.65997,67,5024279,7300,.834,1395,.159,.007
Franklin,Alabama,32113,633.82001,67,5024279,10376,.826,2086,.166,.008
Geneva,Alabama,26659,574.40997,67,5024279,10848,.866,1595,.127,.007
Greene,Alabama,7730,647.10999,67,5024279,875,.184,3884,.8149999999999999,.0010000000000001
Hale,Alabama,14785,643.94,67,5024279,3192,.404,4663,.591,.005
Henry,Alabama,17146,561.75,67,5024279,6607,.712,2606,.281,.007
Houston,Alabama,107202,579.82001,67,5024279,32618,.708,12917,.28,.012
Jackson,Alabama,52579,1077.87,67,5024279,19670,.834,3717,.158,.008
