v1,v2,county,state,pop_county,num_county,pop_state,rep_vote,rep_vote_pct,dem_vote,dem_vote_pct,third_pct,total_hispanic_2010,total_hispanic_2020,num_sample_county,pi_i,vote_pop,state_id,count,county_id,weights,total_vote_pop,third_vote,area
1219,1233,Autauga,Alabama,58805,67,5024279,19838,0.71600002,7503,0.271,0.013,1310,2117,6,0.070225,27701,1,14,1014,14.239943,27686,345,594.44
1221,1235,Baldwin,Alabama,231767,67,5024279,83544,0.764,24578,0.22499999,0.011,7992,12686,6,0.27677643,109325,1,16,1016,3.6130245,109236,1114,1589.78
1248,1262,Barbour,Alabama,25223,67,5024279,5622,0.53500003,4816,0.458,0.007,1387,1510,6,0.030121338,10512,1,43,1043,33.199059,10515,77,884.88
1227,1241,Bibb,Alabama,22293,67,5024279,7525,0.78500003,1986,0.207,0.008,406,740,6,0.026622327,9588,1,22,1022,37.562454,9594,83,622.58002
1266,1280,Blount,Alabama,59134,67,5024279,24711,0.89700001,2640,0.096000001,0.007,4626,5771,6,0.070617892,27544,1,61,1061,14.160717,27500,149,644.78003
1254,1268,Bullock,Alabama,10357,67,5024279,1146,0.249,3446,0.74699998,0.004,777,503,6,0.012368342,4610,1,49,1049,80.851585,4613,21,622.79999
1213,1227,Butler,Alabama,19051,67,5024279,5458,0.57599998,3965,0.41800001,0.006,191,260,6,0.022750728,9480,1,8,1008,43.954639,9486,63,776.83002
1272,1286,Calhoun,Alabama,116441,67,5024279,35101,0.69,15216,0.29899999,0.011,3893,5010,6,0.13905399,50877,1,67,1067,7.1914515,50890,573,605.87
1208,1222,Chambers,Alabama,34772,67,5024279,8753,0.574,6365,0.417,0.009,536,1237,6,0.041524764,15255,1,3,1003,24.082016,15264,146,596.53003
1241,1255,Cherokee,Alabama,24971,67,5024279,10583,0.861,1624,0.132,0.007,320,400,6,0.029820397,12293,1,36,1036,33.534092,12303,96,553.70001
1269,1283,Chilton,Alabama,45014,67,5024279,16085,0.83399999,3073,0.15899999,0.007,3420,4418,6,0.053755771,19293,1,64,1064,18.602654,19327,169,692.84998
1245,1259,Choctaw,Alabama,12665,67,5024279,4296,0.57599998,3127,0.419,0.005,73,113,6,0.015124558,7460,1,40,1040,66.117638,7463,40,913.5
1261,1275,Clarke,Alabama,23087,67,5024279,7324,0.55800003,5755,0.43799999,0.004,271,206,6,0.027570523,13132,1,56,1056,36.270622,13139,60,1238.46
1215,1229,Clay,Alabama,14236,67,5024279,5601,0.80900002,1267,0.183,0.008,399,449,6,0.017000649,6923,1,10,1010,58.821285,6923,55,603.96002
1260,1274,Cleburne,Alabama,15056,67,5024279,6484,0.898,675,0.093999997,0.008,307,284,6,0.017979894,7217,1,55,1055,55.617683,7181,22,560.09998
1249,1263,Coffee,Alabama,53465,67,5024279,16899,0.75999999,5076,0.228,0.012,3180,4887,6,0.063847966,22242,1,44,1044,15.662206,22263,288,678.96997
1244,1258,Colbert,Alabama,57227,67,5024279,19203,0.69,8343,0.30000001,0.01,1093,1732,6,0.068340555,27824,1,39,1039,14.632601,27810,264,592.62
